id;name;light;number;address;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry;datetime
1;Puerta del Sol A;1;1a;Puerta del Sol nº 1;1;0;30;23;6;0;{'type': 'Point', 'coordinates': [-3.7018341, 40.4172137]};2020-12-08T20:15:09.899130
2;Puerta del Sol B;1;1b;Puerta del Sol nº 1;1;0;30;29;1;0;{'type': 'Point', 'coordinates': [-3.701602938060457, 40.41731271011562]};2020-12-08T20:15:09.899130
3;Miguel Moya;2;2;Calle Miguel Moya nº 1;1;0;24;15;8;0;{'type': 'Point', 'coordinates': [-3.7058415, 40.4205886]};2020-12-08T20:15:09.899130
4;Plaza Conde Suchil;0;3;Plaza del Conde Suchil nº 2-4;1;0;18;3;13;0;{'type': 'Point', 'coordinates': [-3.7069171, 40.4302937]};2020-12-08T20:15:09.899130
5;Malasaña;2;4;Calle Manuela Malasaña nº 5;1;0;24;8;16;0;{'type': 'Point', 'coordinates': [-3.7025875, 40.4285524]};2020-12-08T20:15:09.899130
6;Fuencarral;0;5;Calle Fuencarral nº 108;1;0;27;5;21;0;{'type': 'Point', 'coordinates': [-3.70205, 40.42852]};2020-12-08T20:15:09.899130
7;Colegio Arquitectos;2;6;Calle Hortaleza nº 63;1;0;24;9;14;0;{'type': 'Point', 'coordinates': [-3.698447, 40.424148]};2020-12-08T20:15:09.899130
8;Hortaleza;2;7;Calle Hortaleza nº 75;1;0;21;11;9;0;{'type': 'Point', 'coordinates': [-3.6977715, 40.4251906]};2020-12-08T20:15:09.899130
9;Alonso Martínez;0;8;Plaza de Alonso Martínez nº 5;1;0;24;4;18;0;{'type': 'Point', 'coordinates': [-3.6954403, 40.4278682]};2020-12-08T20:15:09.899130
10;Plaza de San Miguel;1;9;Plaza de San Miguel nº 9;1;0;24;21;2;0;{'type': 'Point', 'coordinates': [-3.7095084, 40.4156057]};2020-12-08T20:15:09.899130
11;Marqués de la Ensenada;2;10;Calle Marqués de la Ensenada nº 16;1;0;24;8;16;0;{'type': 'Point', 'coordinates': [-3.69214, 40.42533]};2020-12-08T20:15:09.899130
12;San Andrés;0;11;Calle San Andrés nº 18;1;0;24;5;18;0;{'type': 'Point', 'coordinates': [-3.7035918, 40.4269483]};2020-12-08T20:15:09.899130
13;San Hermenegildo;0;12;Calle San Bernardo nº 85;1;0;24;4;18;0;{'type': 'Point', 'coordinates': [-3.7061931, 40.4284246]};2020-12-08T20:15:09.899130
14;Conde Duque;0;13;Calle Conde Duque nº 22;1;0;24;5;18;0;{'type': 'Point', 'coordinates': [-3.7104417, 40.4273264]};2020-12-08T20:15:09.899130
15;Ventura Rodríguez;0;14;Calle Ventura Rodríguez nº 2;1;0;24;4;20;0;{'type': 'Point', 'coordinates': [-3.713479, 40.4260957]};2020-12-08T20:15:09.899130
